[2025-06-16 19:04:45] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 9, 'op': 0, 'd': {'user_id': '1383826608405614593', 'timestamp': 1750075485, 'member': {'user': {'username': 'tanyafinwiz', 'public_flags': 0, 'primary_guild': None, 'id': '1383826608405614593', 'global_name': None, 'display_name': None, 'discriminator': '6952', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1383834161923489836'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-15T15:42:54.674000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1383833761094963202', 'guild_id': '1383833760432132279'}}
[2025-06-16 19:04:45] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-16 19:04:45] [DEBUG   ] discord.client: Dispatching event typing
[2025-06-16 19:04:45] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-06-16 19:04:45] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1383833761094963202/typing with None has returned 204
[2025-06-16 19:04:45] [DEBUG   ] discord.http: POST /channels/{channel_id}/typing has found its initial rate limit bucket hash (b3c972d7573fa7e2caf7f22fae7caacb).
[2025-06-16 19:04:45] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1383833761094963202/typing has received 
[2025-06-16 19:04:48] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 10, 'op': 0, 'd': {'type': 19, 'tts': False, 'timestamp': '2025-06-16T12:04:49.573000+00:00', 'referenced_message': {'type': 0, 'tts': False, 'timestamp': '2025-06-16T12:04:45.410000+00:00', 'pinned': False, 'mentions': [{'username': 'tanyafinwiz', 'public_flags': 0, 'primary_guild': None, 'id': '1383826608405614593', 'global_name': None, 'discriminator': '6952', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}], 'mention_roles': [], 'mention_everyone': False, 'id': '1384141649755766785', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': "do you thing it's a good investment <@1383826608405614593>  ?", 'components': [], 'channel_id': '1383833761094963202', 'author': {'username': 'sleepyallover', 'public_flags': 0, 'primary_guild': None, 'id': '751700665054789664', 'global_name': 'sleepyallover', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '88940e81b630283f527d718ec9725496'}, 'attachments': []}, 'pinned': False, 'nonce': '6889515518516562607', 'message_reference': {'type': 0, 'message_id': '1384141649755766785', 'guild_id': '1383833760432132279', 'channel_id': '1383833761094963202'}, 'mentions': [{'username': 'sleepyallover', 'public_flags': 0, 'primary_guild': None, 'member': {'roles': ['1383843892092211301'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-15T15:41:18.918000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '751700665054789664', 'global_name': 'sleepyallover', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '88940e81b630283f527d718ec9725496'}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1383834161923489836'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-15T15:42:54.674000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1384141667216654386', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': "I don't provide personal opinions or investment advice. However, when considering investments in stocks like BBRI (Bank Rakyat Indonesia) and BBCA (Bank Central Asia), it's important to conduct thorough research. Look into the companies' financial health, market conditions, and industry trends. \n\nAdditionally, consider diversifying your portfolio to mitigate risks, as investing in individual stocks can be volatile. Always be aware of the risks associated with stock investments, including market fluctuations and potential losses. For more detailed analysis, you might want to consult financial news sources or a financial advisor.", 'components': [], 'channel_type': 0, 'channel_id': '1383833761094963202', 'author': {'username': 'tanyafinwiz', 'public_flags': 0, 'primary_guild': None, 'id': '1383826608405614593', 'global_name': None, 'discriminator': '6952', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1383833760432132279'}}
[2025-06-16 19:04:48] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-16 19:04:48] [DEBUG   ] discord.client: Dispatching event message
[2025-06-16 19:04:48] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1383833761094963202/messages with {"content":"I don't provide personal opinions or investment advice. However, when considering investments in stocks like BBRI (Bank Rakyat Indonesia) and BBCA (Bank Central Asia), it's important to conduct thorough research. Look into the companies' financial health, market conditions, and industry trends. \n\nAdditionally, consider diversifying your portfolio to mitigate risks, as investing in individual stocks can be volatile. Always be aware of the risks associated with stock investments, including market fluctuations and potential losses. For more detailed analysis, you might want to consult financial news sources or a financial advisor.","components":[],"nonce":"6889515518516562607","enforce_nonce":true,"message_reference":{"message_id":1384141649755766785,"channel_id":1383833761094963202,"guild_id":1383833760432132279},"tts":false} has returned 200
[2025-06-16 19:04:48] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1383833761094963202/messages has received {'type': 19, 'content': "I don't provide personal opinions or investment advice. However, when considering investments in stocks like BBRI (Bank Rakyat Indonesia) and BBCA (Bank Central Asia), it's important to conduct thorough research. Look into the companies' financial health, market conditions, and industry trends. \n\nAdditionally, consider diversifying your portfolio to mitigate risks, as investing in individual stocks can be volatile. Always be aware of the risks associated with stock investments, including market fluctuations and potential losses. For more detailed analysis, you might want to consult financial news sources or a financial advisor.", 'mentions': [{'id': '751700665054789664', 'username': 'sleepyallover', 'avatar': '88940e81b630283f527d718ec9725496', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'sleepyallover', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-06-16T12:04:49.573000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1384141667216654386', 'channel_id': '1383833761094963202', 'author': {'id': '1383826608405614593', 'username': 'tanyafinwiz', 'avatar': None, 'discriminator': '6952', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '6889515518516562607', 'message_reference': {'type': 0, 'channel_id': '1383833761094963202', 'message_id': '1384141649755766785', 'guild_id': '1383833760432132279'}, 'referenced_message': {'type': 0, 'content': "do you thing it's a good investment <@1383826608405614593>  ?", 'mentions': [{'id': '1383826608405614593', 'username': 'tanyafinwiz', 'avatar': None, 'discriminator': '6952', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-06-16T12:04:45.410000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1384141649755766785', 'channel_id': '1383833761094963202', 'author': {'id': '751700665054789664', 'username': 'sleepyallover', 'avatar': '88940e81b630283f527d718ec9725496', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'sleepyallover', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False}}
